Site,Year,Date_EST,PAR_incoming_dailysum,PAR_belowcanopy_dailysum,PAR_surface_dailysum,LAI_daily_mean
WalkerBranch,2002,2002-07-03,386.1212544,17.350255316802,3.8489448793767,5.08813667537326
WalkerBranch,2002,2002-07-04,46856.015136,2658.4418898354,2421.44637115131,5.08767906619563
WalkerBranch,2002,2002-07-05,58664.8977768,3498.95196566667,3222.46691772227,5.085482542143
WalkerBranch,2002,2002-07-06,66126.1872096,3835.25349804043,3536.50801129885,5.08328601809036
WalkerBranch,2002,2002-07-07,55588.45446,3233.63435431942,2969.2402750325,5.08108949403773
WalkerBranch,2002,2002-07-08,40190.9181408,2010.78670869736,1794.40751653687,5.07847255631274
WalkerBranch,2002,2002-07-09,37954.1835288,1930.03271901026,1722.28072924084,5.07425804663278
WalkerBranch,2002,2002-07-10,37915.849944,1934.84662766066,1729.70672523005,5.07004353695282
WalkerBranch,2002,2002-07-11,39084.5562408,2036.95681206505,1826.40498741949,5.06582902727287
WalkerBranch,2002,2002-07-12,46851.182532,2593.96744430099,2351.46082989267,5.06122145148507
WalkerBranch,2002,2002-07-13,26236.9377144,1236.14204095324,1080.15338076221,5.05512022448749
WalkerBranch,2002,2002-07-14,39658.5706608,2091.23835526658,1882.35732627181,5.04901899748991
WalkerBranch,2002,2002-07-15,42087.0493008,2292.20919368844,2064.31947296997,5.04291777049233
WalkerBranch,2002,2002-07-16,40065.9934248,1967.25459871448,1751.88177320774,5.03644506904734
WalkerBranch,2002,2002-07-17,49030.0172208,2705.60947155716,2449.86612783742,5.0285607647022
WalkerBranch,2002,2002-07-18,41915.914236,2267.07631901313,2042.46996303018,5.02067646035707
WalkerBranch,2002,2002-07-19,38717.0119728,2045.30229972688,1828.29648295475,5.01279215601193
WalkerBranch,2002,2002-07-20,42579.0768816,2270.35441489159,2042.83252688139,5.00455272892052
WalkerBranch,2002,2002-07-21,56505.7283616,3310.06988898599,3029.04328302429,4.99496383539327
WalkerBranch,2002,2002-07-22,37838.1173184,1976.39759481296,1759.23707535559,4.98537494186601
WalkerBranch,2002,2002-07-23,48529.542096,2758.43236475098,2507.2480443402,4.97578604833876
WalkerBranch,2002,2002-07-24,43790.584068,2448.19873726855,2207.7431922572,4.96585362520818
WalkerBranch,2002,2002-07-25,38825.2775232,1962.81160130092,1738.22912816458,4.95461578958493
WalkerBranch,2002,2002-07-26,43133.5858464,2243.8935228197,2001.10530695781,4.94337795396167
WalkerBranch,2002,2002-07-27,52478.5482144,2942.82777111427,2668.45114901527,4.93214011833842
WalkerBranch,2002,2002-07-28,34780.2205464,1788.55106440947,1570.25285370609,4.92039956391259
WalkerBranch,2002,2002-07-29,44863.5971952,2449.25300894508,2200.37569041911,4.90674867803695
WalkerBranch,2002,2002-07-30,37952.646228,2065.54272234069,1834.06918306651,4.89309779216131
WalkerBranch,2002,2002-07-31,53272.6630128,3412.50354291314,3120.2124161944,4.87944690628568
WalkerBranch,2002,2002-08-01,47051.5491432,2774.26304100785,2507.75945739455,4.86579602041004
WalkerBranch,2002,2002-08-02,56935.0995192,3560.67344947728,3256.39743916924,4.8521451345344
WalkerBranch,2002,2002-08-03,61314.1465104,3875.31871639446,3553.95527001121,4.83849424865877
WalkerBranch,2002,2002-08-04,54190.119564,3354.04857169085,3058.51372957064,4.82484336278313
WalkerBranch,2002,2002-08-05,58386.4789032,3736.70294529874,3421.81128673812,4.81069283454819
WalkerBranch,2002,2002-08-06,48455.8810344,2748.09597674014,2472.11075888089,4.79464366534788
WalkerBranch,2002,2002-08-07,57926.5900416,3779.06307654014,3458.79363289439,4.77859449614758
WalkerBranch,2002,2002-08-08,60398.8969752,3914.91662410243,3585.79851213341,4.76254532694728
WalkerBranch,2002,2002-08-09,57355.0642224,3788.96232388733,3468.64701366473,4.74615940477748
WalkerBranch,2002,2002-08-10,60676.9505496,3935.26609324165,3599.65428629603,4.72849382132363
WalkerBranch,2002,2002-08-11,57097.6424424,3730.47925203352,3407.81251655535,4.71082823786978
WalkerBranch,2002,2002-08-12,59791.8534192,3918.17495512258,3580.77208898726,4.69316265441593
WalkerBranch,2002,2002-08-13,56174.9042736,3769.5067627789,3442.79908497292,4.67515367591859
WalkerBranch,2002,2002-08-14,34728.8731776,1984.10449387061,1736.97694926415,4.65583979625594
WalkerBranch,2002,2002-08-15,38319.201144,2400.08805646161,2134.27881675321,4.6365259165933
WalkerBranch,2002,2002-08-16,33335.1349632,2025.07292275379,1779.42219487793,4.61721203693066
WalkerBranch,2002,2002-08-17,38017.9510704,2411.14898447296,2147.43015543627,4.59754524490043
WalkerBranch,2002,2002-08-18,38903.6646432,2405.05007442751,2135.15482551093,4.57653738587336
WalkerBranch,2002,2002-08-19,34352.1735984,2165.95533355095,1917.08837536905,4.5555295268463
WalkerBranch,2002,2002-08-20,47052.0514296,3190.64209101027,2879.36051442373,4.53452166781924
WalkerBranch,2002,2002-08-21,57915.7604424,4021.16072531916,3659.29132664325,4.51314865902136
WalkerBranch,2002,2002-08-22,46833.6710016,3204.934342093,2890.62988005708,4.49038808109439
WalkerBranch,2002,2002-08-23,41847.4434672,2889.97354183565,2587.65735590631,4.46762750316741
WalkerBranch,2002,2002-08-24,39849.538428,2598.1867565878,2303.93147712755,4.44486692524044
WalkerBranch,2002,2002-08-25,33972.9549768,2358.93345105684,2087.33058791307,4.42172635873528
WalkerBranch,2002,2002-08-26,42317.6444208,2936.34295047017,2621.06248982856,4.39714183563297
WalkerBranch,2002,2002-08-27,40511.5595136,2820.28471247043,2508.54970540876,4.37255731253067
WalkerBranch,2002,2002-08-28,38233.3406112,2725.20226408576,2415.58476104894,4.34797278942836
WalkerBranch,2002,2002-08-29,32671.25694,2293.44534944581,2006.84651112146,4.3229909240969
WalkerBranch,2002,2002-08-30,36488.6792424,2640.51265707643,2332.00197495862,4.29649915829462
WalkerBranch,2002,2002-08-31,40837.7412576,3020.55281794906,2686.80729437592,4.27000739249235
WalkerBranch,2002,2002-09-01,35479.5630336,2575.75899919793,2266.05196009015,4.24351562669007
WalkerBranch,2002,2002-09-02,27138.1612824,2012.89855425298,1741.01164543456,4.21660670990157
WalkerBranch,2002,2002-09-03,45947.2496616,3511.1189391817,3139.26421904092,4.18811261936541
WalkerBranch,2002,2002-09-04,49945.951692,3875.12737025607,3470.79868360747,4.15961852882924
WalkerBranch,2002,2002-09-05,51360.268428,4048.5469403817,3626.47965547195,4.13112443829308
WalkerBranch,2002,2002-09-06,38239.7029056,3016.42067153746,2657.98660673976,4.10219097318498
WalkerBranch,2002,2002-09-07,47515.6389456,3859.5056210251,3445.68429815533,4.07158788470353
WalkerBranch,2002,2002-09-08,48191.7773232,3935.42904267166,3507.52460442018,4.04098479622208
WalkerBranch,2002,2002-09-09,49174.5843792,4034.91149088883,3593.5522204294,4.01038170774063
WalkerBranch,2002,2002-09-10,49571.8853112,4119.78353657459,3666.80817740498,3.97931463899848
WalkerBranch,2002,2002-09-11,47802.6499608,3997.55082844857,3548.04280415323,3.94648444526566
WalkerBranch,2002,2002-09-12,47989.6450992,4052.85668177669,3591.47367321959,3.91365425153283
WalkerBranch,2002,2002-09-13,34850.1829536,3017.55889929992,2634.98666912739,3.88082405780001
WalkerBranch,2002,2002-09-14,30297.3676992,2650.96905974982,2284.4829857034,3.84750294274945
WalkerBranch,2002,2002-09-15,23306.2487784,1961.64429035501,1660.66484309759,3.81231632669147
